"Klucz","Typ zgłoszenia","Nadrzędny","Podsumowanie","Status","Osoba przypisana","Sprint","Start date","Wywnioskowana data rozpoczęcia","Termin","Wywnioskowany termin","Issue color"
"SKLEPTEST-1","Epik","","Koszyk","Do zrobienia","","","","","","","purple"
"SKLEPTEST-2","Epik","","Strona główna","Do zrobienia","","","2024/05/10","2024/05/10","2024/05/23","2024/05/23","purple"
"SKLEPTEST-3","Błąd w programie","SKLEPTEST-2","Nieprawidłowe działanie dostępu do panelu użytkownika","Do zrobienia","Przemysław Bajdak (PB)","Strona główna","","2024/03/31","","2024/06/23","purple"
"SKLEPTEST-4","Błąd w programie","SKLEPTEST-2","Błędne przekierowanie z przycisku ""About us""","Do zrobienia","Przemysław Bajdak (PB)","Strona główna","","2024/03/31","","2024/06/23","purple"
"SKLEPTEST-5","Błąd w programie","SKLEPTEST-2","Błędne podświetlenie przycisków po przejściu do ""Contact""","Do zrobienia","Przemysław Bajdak (PB)","Strona główna","","2024/03/31","","2024/06/23","purple"
"SKLEPTEST-8","Zapytanie","SKLEPTEST-2","Brak zawartości treści w sekcji ""Blog""","Do zrobienia","","Strona główna","","2024/03/31","","2024/06/23","purple"
"SKLEPTEST-9","Zapytanie","SKLEPTEST-2","Wyszukiwanie produktów w sekcji ""Blog""","Do zrobienia","Przemysław Bajdak (PB)","Strona główna","","2024/03/31","","2024/06/23","purple"
"SKLEPTEST-10","Błąd w programie","SKLEPTEST-2","Nie działa przycisk ""Shop Now""","Do zrobienia","Przemysław Bajdak (PB)","Strona główna","","2024/03/31","","2024/06/23","purple"
"SKLEPTEST-11","Zapytanie","SKLEPTEST-2","Niewiadome działanie przycisku ""Learn More""","Do zrobienia","Przemysław Bajdak (PB)","Strona główna","","2024/03/31","","2024/06/23","purple"
"SKLEPTEST-12","Błąd w programie","SKLEPTEST-2","Nie aktualizuje się kwota w koszyku","Do zrobienia","Przemysław Bajdak (PB)","Strona główna","","2024/03/31","","2024/06/23","purple"
"SKLEPTEST-13","Błąd w programie","SKLEPTEST-2","Brak strony po przekierowaniu z przycisku ","Do zrobienia","Przemysław Bajdak (PB)","Strona główna","","2024/03/31","","2024/06/23","purple"
"SKLEPTEST-14","Błąd w programie","SKLEPTEST-2","Nie wyświetla się zdjęcie produktu","Do zrobienia","Przemysław Bajdak (PB)","Strona główna","","2024/03/31","","2024/06/23","purple"
